cycle,alpha_max,f_min,alpha_err_B,alpha_err_C,d_err_B,d_err_C
13.8000,3.67477616e+00,1.43543526e-01,9.21929905e-01,5.47774081e-01,1.46028887e-01,1.46028887e-01
13.9000,3.67477616e+00,1.43543526e-01,9.24800455e-01,5.48472234e-01,1.46044270e-01,1.46044270e-01
14.0000,3.67477616e+00,1.43543526e-01,9.27562611e-01,5.49144047e-01,1.46059038e-01,1.46059038e-01
14.1000,3.69984116e+00,1.42427867e-01,9.30220158e-01,5.49790491e-01,1.46073215e-01,1.46073215e-01
14.2000,3.76546216e+00,1.39571843e-01,9.36826811e-01,5.52192734e-01,1.46086825e-01,1.46086825e-01
14.3000,3.84657418e+00,1.36166301e-01,9.50001555e-01,5.57429716e-01,1.46099891e-01,1.46099891e-01
14.4000,3.91219518e+00,1.33507369e-01,9.65879919e-01,5.63699160e-01,1.46112434e-01,1.46112434e-01
14.5000,3.93726017e+00,1.32513611e-01,9.79498030e-01,5.68860364e-01,1.46124476e-01,1.46124476e-01
14.6000,3.93726017e+00,1.32513611e-01,9.86715218e-01,5.71386287e-01,1.46136036e-01,1.46136036e-01
14.7000,3.93726017e+00,1.32513611e-01,9.89830874e-01,5.72063035e-01,1.46147134e-01,1.46147134e-01
14.8000,3.93726017e+00,1.32513611e-01,9.92829006e-01,5.72714161e-01,1.46157788e-01,1.46157788e-01
14.9000,3.93726017e+00,1.32513611e-01,9.95713698e-01,5.73340580e-01,1.46168016e-01,1.46168016e-01
15.0000,3.93726017e+00,1.32513611e-01,9.98488928e-01,5.73943179e-01,1.46177835e-01,1.46177835e-01
15.1000,3.96232517e+00,1.31531635e-01,1.00115857e+00,5.74522859e-01,1.46187262e-01,1.46187262e-01
15.2000,4.02794617e+00,1.29015209e-01,1.00776891e+00,5.76782149e-01,1.46196311e-01,1.46196311e-01
15.3000,4.10905819e+00,1.26009636e-01,1.02093471e+00,5.81752781e-01,1.46204998e-01,1.46204998e-01
15.4000,4.17467919e+00,1.23659185e-01,1.03679927e+00,5.87712508e-01,1.46213338e-01,1.46213338e-01
15.5000,4.19974419e+00,1.22779857e-01,1.05040908e+00,5.92613094e-01,1.46221344e-01,1.46221344e-01
15.6000,4.19974419e+00,1.22779857e-01,1.05763190e+00,5.95007635e-01,1.46229030e-01,1.46229030e-01
15.7000,4.19974419e+00,1.22779857e-01,1.06076125e+00,5.95616401e-01,1.46236409e-01,1.46236409e-01
15.8000,4.19974419e+00,1.22779857e-01,1.06377201e+00,5.96201955e-01,1.46243492e-01,1.46243492e-01
15.9000,4.19974419e+00,1.22779857e-01,1.06666834e+00,5.96765141e-01,1.46250293e-01,1.46250293e-01
16.0000,4.19974419e+00,1.22779857e-01,1.06945432e+00,5.97306772e-01,1.46256821e-01,1.46256821e-01
16.1000,4.22480918e+00,1.21910491e-01,1.07213388e+00,5.97827681e-01,1.46263088e-01,1.46263088e-01
16.2000,4.29043018e+00,1.19680524e-01,1.07874678e+00,5.99957274e-01,1.46269105e-01,1.46269105e-01
16.3000,4.37154220e+00,1.17013067e-01,1.09190405e+00,6.04683429e-01,1.46274881e-01,1.46274881e-01
16.4000,4.43716321e+00,1.14923951e-01,1.10775576e+00,6.10358374e-01,1.46280425e-01,1.46280425e-01
16.5000,4.46222820e+00,1.14141690e-01,1.12135759e+00,6.15019907e-01,1.46285748e-01,1.46285748e-01
16.6000,4.46222820e+00,1.14141690e-01,1.12858474e+00,6.17296826e-01,1.46290859e-01,1.46290859e-01
16.7000,4.46222820e+00,1.14141690e-01,1.13172560e+00,6.17845770e-01,1.46295764e-01,1.46295764e-01
16.8000,4.46222820e+00,1.14141690e-01,1.13474694e+00,6.18373661e-01,1.46300474e-01,1.46300474e-01
16.9000,4.46222820e+00,1.14141690e-01,1.13765303e+00,6.18881271e-01,1.46304995e-01,1.46304995e-01
17.0000,4.46222820e+00,1.14141690e-01,1.14044798e+00,6.19369350e-01,1.46309335e-01,1.46309335e-01
17.1000,4.48729319e+00,1.13367913e-01,1.14313582e+00,6.19838666e-01,1.46313502e-01,1.46313502e-01
17.2000,4.55291419e+00,1.11381412e-01,1.14975052e+00,6.21850685e-01,1.46317502e-01,1.46317502e-01
17.3000,4.63402621e+00,1.09001899e-01,1.16289977e+00,6.26352594e-01,1.46321342e-01,1.46321342e-01
17.4000,4.69964722e+00,1.07135772e-01,1.17873962e+00,6.31765861e-01,1.46325029e-01,1.46325029e-01
17.5000,4.72471221e+00,1.06436433e-01,1.19233388e+00,6.36208260e-01,1.46328568e-01,1.46328568e-01
17.6000,4.72471221e+00,1.06436433e-01,1.19956443e+00,6.38380087e-01,1.46331965e-01,1.46331965e-01
17.7000,4.72471221e+00,1.06436433e-01,1.20271510e+00,6.38876450e-01,1.46335227e-01,1.46335227e-01
17.8000,4.72471221e+00,1.06436433e-01,1.20574546e+00,6.39353682e-01,1.46338358e-01,1.46338358e-01
17.9000,4.72471221e+00,1.06436433e-01,1.20865984e+00,6.39812494e-01,1.46341364e-01,1.46341364e-01
18.0000,4.72471221e+00,1.06436433e-01,1.21146242e+00,6.40253571e-01,1.46344250e-01,1.46344250e-01
18.1000,4.74977720e+00,1.05744369e-01,1.21415729e+00,6.40677627e-01,1.46347020e-01,1.46347020e-01
18.2000,4.81539821e+00,1.03966230e-01,1.22077325e+00,6.42583070e-01,1.46349679e-01,1.46349679e-01
18.3000,4.89651023e+00,1.01833593e-01,1.23391503e+00,6.46879364e-01,1.46352233e-01,1.46352233e-01
18.4000,4.96213123e+00,1.00158994e-01,1.24974396e+00,6.52052292e-01,1.46354684e-01,1.46354684e-01
18.5000,4.98719622e+00,9.95309548e-02,1.26333112e+00,6.56293881e-01,1.46357036e-01,1.46357036e-01
18.6000,4.98719622e+00,9.95309548e-02,1.27056440e+00,6.58371952e-01,1.46359295e-01,1.46359295e-01
18.7000,4.98719622e+00,9.95309548e-02,1.27372355e+00,6.58822077e-01,1.46361464e-01,1.46361464e-01
18.8000,4.98719622e+00,9.95309548e-02,1.27676170e+00,6.59254782e-01,1.46363545e-01,1.46363545e-01
18.9000,4.98719622e+00,9.95309548e-02,1.27968323e+00,6.59670719e-01,1.46365544e-01,1.46365544e-01
19.0000,4.98719622e+00,9.95309548e-02,1.28249239e+00,6.60070517e-01,1.46367462e-01,1.46367462e-01
19.1000,5.01226121e+00,9.89091932e-02,1.28519331e+00,6.60454838e-01,1.46369304e-01,1.46369304e-01
19.2000,5.07788222e+00,9.73105076e-02,1.29181017e+00,6.62263631e-01,1.46371072e-01,1.46371072e-01
19.3000,5.15899424e+00,9.53908535e-02,1.30494502e+00,6.66371430e-01,1.46372770e-01,1.46372770e-01
19.4000,5.22461524e+00,9.38817599e-02,1.32076392e+00,6.71323692e-01,1.46374399e-01,1.46374399e-01
19.5000,5.24968023e+00,9.33153959e-02,1.33434447e+00,6.75381295e-01,1.46375963e-01,1.46375963e-01
19.6000,5.24968023e+00,9.33153959e-02,1.34157998e+00,6.77375828e-01,1.46377465e-01,1.46377465e-01
19.7000,5.24968023e+00,9.33153959e-02,1.34474654e+00,6.77785231e-01,1.46378907e-01,1.46378907e-01
19.8000,5.24968023e+00,9.33153959e-02,1.34779149e+00,6.78178734e-01,1.46380291e-01,1.46380291e-01
19.9000,5.24968023e+00,9.33153959e-02,1.35071927e+00,6.78556936e-01,1.46381620e-01,1.46381620e-01
20.0000,5.24968023e+00,9.33153959e-02,1.35353418e+00,6.78920416e-01,1.46382895e-01,1.46382895e-01
20.1000,5.27474523e+00,9.27544790e-02,1.35624037e+00,6.79269790e-01,1.46384120e-01,1.46384120e-01
20.2000,5.34036623e+00,9.13112572e-02,1.36285788e+00,6.80990875e-01,1.46385295e-01,1.46385295e-01
20.3000,5.42147825e+00,8.95763996e-02,1.37598633e+00,6.84925898e-01,1.46386424e-01,1.46386424e-01
20.4000,5.48709925e+00,8.82111276e-02,1.39179601e+00,6.89675618e-01,1.46387507e-01,1.46387507e-01
20.5000,5.51216424e+00,8.76984079e-02,1.40537042e+00,6.93564675e-01,1.46388547e-01,1.46388547e-01
20.6000,5.51216424e+00,8.76984079e-02,1.41260777e+00,6.95484870e-01,1.46389545e-01,1.46389545e-01
20.7000,5.51216424e+00,8.76984079e-02,1.41578089e+00,6.95858322e-01,1.46390504e-01,1.46390504e-01
20.8000,5.51216424e+00,8.76984079e-02,1.41883185e+00,6.96217226e-01,1.46391424e-01,1.46391424e-01
20.9000,5.51216424e+00,8.76984079e-02,1.42176515e+00,6.96562136e-01,1.46392307e-01,1.46392307e-01
21.0000,5.51216424e+00,8.76984079e-02,1.42458513e+00,6.96893582e-01,1.46393155e-01,1.46393155e-01
21.1000,5.53722924e+00,8.71904398e-02,1.42729598e+00,6.97212141e-01,1.46393969e-01,1.46393969e-01
21.2000,5.60285024e+00,8.58826291e-02,1.43391396e+00,6.98853566e-01,1.46394751e-01,1.46394751e-01
21.3000,5.68396226e+00,8.43089636e-02,1.44703649e+00,7.02630250e-01,1.46395501e-01,1.46395501e-01
21.4000,5.74958326e+00,8.30693197e-02,1.46283771e+00,7.07194132e-01,1.46396221e-01,1.46396221e-01
21.5000,5.77464826e+00,8.26034985e-02,1.47640642e+00,7.10928812e-01,1.46396913e-01,1.46396913e-01
21.6000,5.77464826e+00,8.26034985e-02,1.48364534e+00,7.12782953e-01,1.46397577e-01,1.46397577e-01
21.7000,5.77464826e+00,8.26034985e-02,1.48682429e+00,7.13124574e-01,1.46398214e-01,1.46398214e-01
21.8000,5.77464826e+00,8.26034985e-02,1.48988062e+00,7.13452854e-01,1.46398826e-01,1.46398826e-01
21.9000,5.77464826e+00,8.26034985e-02,1.49281884e+00,7.13768301e-01,1.46399413e-01,1.46399413e-01
22.0000,5.77464826e+00,8.26034985e-02,1.49564332e+00,7.14071407e-01,1.46399977e-01,1.46399977e-01
22.1000,5.79971325e+00,8.21418428e-02,1.49835832e+00,7.14362708e-01,1.46400518e-01,1.46400518e-01
22.2000,5.86533425e+00,8.09525702e-02,1.50497666e+00,7.15931731e-01,1.46401038e-01,1.46401038e-01
22.3000,5.94644627e+00,7.95201997e-02,1.51809372e+00,7.19563343e-01,1.46401536e-01,1.46401536e-01
22.4000,6.01206728e+00,7.83908215e-02,1.53388714e+00,7.23956790e-01,1.46402015e-01,1.46402015e-01
22.5000,6.03713227e+00,7.79661969e-02,1.54745057e+00,7.27550114e-01,1.46402475e-01,1.46402475e-01
22.6000,6.03713227e+00,7.79661969e-02,1.55469083e+00,7.29345667e-01,1.46402916e-01,1.46402916e-01
22.7000,6.03713227e+00,7.79661969e-02,1.55787504e+00,7.29659015e-01,1.46403340e-01,1.46403340e-01
22.8000,6.03713227e+00,7.79661969e-02,1.56093618e+00,7.29960098e-01,1.46403747e-01,1.46403747e-01
22.9000,6.03713227e+00,7.79661969e-02,1.56387882e+00,7.30249387e-01,1.46404137e-01,1.46404137e-01
23.0000,6.03713227e+00,7.79661969e-02,1.56670736e+00,7.30527334e-01,1.46404512e-01,1.46404512e-01
23.1000,6.06219726e+00,7.75452405e-02,1.56942607e+00,7.30794445e-01,1.46404872e-01,1.46404872e-01
23.2000,6.12781826e+00,7.64602206e-02,1.57604467e+00,7.32297614e-01,1.46405217e-01,1.46405217e-01
23.3000,6.20893028e+00,7.51522716e-02,1.58915670e+00,7.35796364e-01,1.46405549e-01,1.46405549e-01
23.4000,6.27455129e+00,7.41201102e-02,1.60494292e+00,7.40033597e-01,1.46405867e-01,1.46405867e-01
23.5000,6.29961628e+00,7.37318340e-02,1.61850146e+00,7.43497541e-01,1.46406173e-01,1.46406173e-01
